"This value is not valid.","この値は、有効ではありません。"
"This value should be lower than {{max}}.","この値は、{{max}}よりも低くすべきである。"
"Please use %s characters.","%s文字を使用してください。"
"both uppercase and lowercase characters","両方の大文字と小文字"
"at least one special character","少なくとも一つの特殊文字"
"at least one numeric character","1つ以上の数字"
"The Password must contain %s.","パスワードは%sが含まれている必要があります。"
"Thank you for your input in the full-width katakana.","全角カタカナでのご入力をお願いいたします."
"Please make sure your email match.","あなたのメールアドレスが一致していることを確認してください。"
"Please enter a valid full date.","有効な完全な日付を入力してください"
"Help Desk","お問い合わせ履歴"
"Cash on Delivery fee","代金引換手数料（税込)"
"My Support Tickets","お問い合わせ"
"My Support Tickets History","お問い合わせ履歴"
"ID","身元"
"Inquiry number","お問い合わせ番号"
"Department","売り場"
"Replies","返信"
"Create new ticket","新規お問い合わせ"
"Assign to order","ご注文番号"
"Unassigned","割り当てられていない"
"Submit Ticket","お問い合わせ内容を送信"
"Ticket has been successfully saved.","お問い合わせいただき、ありがとうございました。"
"Ticket Information","お問い合わせ詳細"
"Post a Reply","返信する"
"Close Ticket","お問い合わせ終了"
"Post Reply","返信する"
"%s Back to my Support Tickets","%s戻る"
"Reply has been successfully saved.","返信を受け付けました。"
"You are near to close the ticket. Are you sure?","お問い合わせを終了すると、返信の投稿ができなくなります。終了してよろしいですか？"
"Ticket has been successfully closed.","お問い合わせありがとうございました。"
"Return #","リターン＃"
"Ship From","から船"
"Return Status","リターン·ステータス"
"View Return","ビュー戻る"
"Request Information","要請情報"
"Date Requested","日付が要求され"
"Contact Email Address","連絡先メールアドレス"
"Items Return Requested For","アイテムは、のために要求リターン"
"Resolution","解像度"
"Request Qty","数量をリクエスト"
"Leave Comment","コメントを残す"
"Address change","住所変更"
"Mage_Customer::Change Billing Address","請求先住所の変更"
"Mage_Customer::Change Shipping Address","配送先住所の変更"
"Change Shipping Address","お届け先住所の変更"
"Shipping & Handling","配送料（税込）"
"Billing Address","お届け先住所"
"Customer Address","お客様住所"
"Mage_Sales::Payment Method","お支払い方法"
"Mage_Checkout::Payment Method","お支払い情報"
"Payment Method","お支払い情報"
"Subtotal(Incl. Tax)","小計（税込）"
"Change Registration Information","ご登録情報"
"You are currently subscribed to 'General Subscription'.","現在メールマガジンを「受け取る」設定です"
"You are currently not subscribed to any newsletter.","現在メールマガジンを「受け取らない」設定です"
"My Dashboard","マイページトップ"
"Send","送信する"
"Login ID (email address)","ログインID(メールアドレス）"
"Mage_Customer::Forgot Your Password?","パスワードを忘れた方はこちら"
"Mage_Persistent::Forgot Your Password?","パスワードを忘れた方はこちら"
"Customers first is your application in our store, you will need a Lactacyd membership registration.","当ショップで初めてお申込みされるお客様は、Lactacyd会員登録が必要となります。"
"Register","新規会員登録"
"Mage_Cms::Home","トップ"
"Mage_Catalog::Home","トップ"
"Mage_Sales::Home","トップ"
"Qty", "数量"
"Mage_Bundle::Qty", "数量"
"Mage_Checkout::Qty", "数量"
"Mage_Sales::Qty","数量"
"Log in","ログイン"
"My Account","マイページ"
"Log Out","ログアウト"
"Current amount:","ご注文金額:"
"Go to checkout","お申込み画面へ進む"
"What is Lactacyd ?","Lactacydとは ?"
"FAQ","よくあるご質問"
"Is not composite","【ラクタシード】"
"Is composite","【ラクタシード ボリュームセット】"
"bottle","本"
"piece","個"
"You need to pay the shipping","※表示価格には別途送料がかかります。"
"Special consumption tax and the carriage of the display price.","※表示価格には別途消費税と送料がかかります。"
"Normal price","通常価格"
"Price for the whole set","セット価格"
"Required field","必須"
"Last Name","姓"
"Your name [full]","お名前〔全角〕"
"Your Japan name [full]","フリガナ〔全角カナ〕"
"Phonetic lastname","セイ"
"Phonetic firstname","メイ"
"E-mail address [alphanumeric]","メールアドレス〔半角英数字〕"
"Please enter again for confirmation.","確認のためもう一度ご入力ください。"
"Sign Up for Sanofi Newsletter","今後sanofiからメールをお送りしてよろしいですか？"
"Receive","受け取る"
"Not receive","受け取らない"
"Password [alphanumeric]","パスワード〔半角英数字〕"
"Only available on online shop","オンラインショップ限定"
"Free shipping","送料無料"
"Yamada","山田"
"Hanako","花子"
"~Yamada","ゃまだ"
"~Hanako","はなこ"
"Zip [byte numbers]","郵便番号〔半角数字〕"
"Gender","性別"
"Date of birth","生年月日"
"YYYY","年"
"MM","月"
"DD","日"
"Membership agreement","〔会員規約〕"
"Prefectures and municipalities","都道府県・市区町村"
"Address and building","番地・建物名など"
"Telephone number [byte numbers]","電話番号〔半角英数字〕"
"Phone","番号"
"Inc. Tax","税込"
"Incl. Tax","税込"
"Excl. Tax","税抜"
"Mage_Tax::Excl. Tax","税抜"
"If you have an account with us, log in using your email address.","Lactacyd会員登録がお済みの方は、<br />こちらからログインして下さい。"
"You can register during the sign-up process","お申込み手続き中にご登録いただけます"
"Log than apply the next time you<br />You can sign up smoothly","次回のお申込みよりログインして<br />スムーズにお申込みいただけます";
"Please enter your email address below. You will receive a link to reset your password.","ログイン時に使用しているメールアドレスを入力して「送信する」ボタンをクリックしてください。<br />パスワード再発行メールをお送りいたします。"
"Mage_Checkout::Shipping Information","お届け先情報"
"Shipping Information","お届け先情報"
"Mage_Checkout::Billing Information","お客様情報"
"Mage_Checkout::Shipping Method","配送情報"
"Mage_Checkout::Payment Information","お支払い情報"
"Mage_Checkout::Order Review","お申込みの確認"
"Delivery date","お届け日"
"Delivery time","お届け時間"
"Please enter the required fields.","必要項目を入力してください。"
"Please select a delivery date.","お届け日を選択してください。"
"Please select a delivery time.","配送時間を選択してください。"
"Delivery schedule information is missing.","配信スケジュール情報が欠落しています。"
"Deliver at the earliest","最短日数での配送"
"Choose your delivery date and time","ご希望の配送日時を指定"
"Delivery: Deliver earliest","配信：早い配信"
"Delivery: Deliver earliest at %s","お届け時間：%s"
"Deliver to your designated date and time depending on traffic and weather","※交通状況や天候によりご指定の日時にお届けできない場合があります。"
"The available card is shown on the right.","左記のカードがご利用いただけます。"
"Please select your payment information.","お支払い情報を選択してください。"
"Please enter the card information.","カード情報を入力してください。"
"Mage_Sales::View Order","詳細を見る"
"Please select your destination.","あなたの目的地を選択してください。"
"Check the contents of your application, please click on the ""Place Order"" button if there is no mistake.","お申込み内容を確認の上、お間違いなければ「決済情報を入力する」ボタンをクリックしてください。"
"Optional","任意"
"Update postal code","住所取得"
"Find postal code","郵便番号を調べる"
"Order number","ご注文番号"
"Delivery tracking number","配送追跡番号"
"Address search","住所検索"
"Search by zip code","郵便番号から検索"
"Search by address (city)","住所（市区町村）から検索"
"Lookup data can not be empty.","ルックデータは空にすることはできません。"
"Address","住所"
"Please enter the part of the city with double-byte characters.","市区町村の一部を全角文字で入力してください。"
"(Example: Koriyama Asahi, etc.)","（例　郡山市朝日　等）"
"Postal code","郵便番号"
"Prefecture","都道府県"
"Update Shopping Cart", "再計算する"
"Proceed to Checkout", "お申込みへ進む"
"Products In Shopping Cart", " 商品のお申込み"
"Mage_Checkout::Unit Price", "価格"
"Unit Price (Excl. Tax)", "価格（税抜）"
"Mage_Checkout::Continue Shopping", "買い物を続ける"
"Subtotal (Incl. Tax)", "商品合計（税込）"
"Mage_Tax::Subtotal (Incl. Tax)", "商品合計（税込）"
"Subtotal (Excl. Tax)","小計（税抜）"
"Grand Total Incl. Tax", "合計 (税込)"
"Shipping Incl. Tax (%s)","配送料（税込)"
"Price (Excl. Tax)","価格（税抜）"
"Send request","お問い合わせ内容を送信する"
"Weak","弱い"
"Medium","普通"
"Strong","強い"
"Very Strong","非常に強い"
"Please Select","選択してください。"
"Mage_Payment::Please Select","選択してください。"
"Mage_Sales::Recent Orders","最近のお申込み"
"Mage_Sales::Order #","ご注文番号"
"View All Order","すべてのお申込み履歴を見る"
"Mage_Customer::Account Information","登録情報"
"Mage_Sales::Account Information","登録情報"
"Mage_Customer::Contact Information","ご登録情報"
"Mage_Customer::Newsletters","メールマガジン受信設定"
"Mage_Customer::Change Password","パスワードの変更"
"Mage_Customer::Edit Address","住所の変更"
"Ship To","お届け先"
"Mage_Sales::Order Total","合計金額"
"Mage_Sales::Shipping Address","お届け先住所"
"Delivery date","お届け日時"
"Mage_Sales::Product","商品名"
"Edit Account Information","ご登録情報"
"Email Address [alphanumeric]","メールアドレス〔半角英数字〕"
"Current Password [alphanumeric]","現在のパスワード〔半角英数字〕"
"New Password [alphanumeric]","新しいパスワード〔半角英数字〕"
"Mage_Customer::Confirm New Password","新しいパスワード（確認用）"
"Mage_Customer::Save","保存する"
"Save","保存する"
"Newsletter Subscriptions","メールマガジン受信設定"
"Newsletter Subscription","メールマガジン受信設定"
"Mage_Customer::Newsletter Subscription","メールマガジン受信設定"
"Ebizmarts_MageMonkey::Newsletter Subscription","メールマガジン受信設定"
"General Subscription","メールマガジンを受信する"
"Mage_Customer::Default Billing Address","請求先住所"
"Mage_Customer::Default Shipping Address","お届け先住所"
"Mage_Customer::Additional Address Entries","登録済み住所"
"Mage_Customer::Add New Address","新しい住所を登録する"
"Default Billing Address","現在の請求先住所です。"
"Default Shipping Address","現在のお届け先住所です。"
"Use as my default billing address","請求先住所にする"
"Use as my default shipping address","お届け先住所にする"
"My Account","マイページメニュー"
"Account Dashboard","マイページトップ"
"Mage_Customer::Account Information","ご登録情報"
"Address Book","アドレス帳"
"Mage_Sales::My Orders","ご注文履歴"
"My Returns","退会"
"My page of %s","%sさんのマイページ"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","マイページトップでは、お客様の最近のご注文履歴やお客様情報をご覧いただけます。リンクをクリックすることで情報を閲覧・変更することが可能です。"
"Total Items","商品合計"
"Total (inc)","合計（税込）"
"Volume","内容量"
"Phoenix_CashOnDelivery::You will be charged an extra fee of %s.","あなたは%sの追加料金をお支払いいただきます。"
"Result is empty.", "一致する結果がありません。"
"Use this", "この住所を使用"
"Phoenix_CashOnDelivery::Cash on Delivery fee %s","高い料金%s代引き"
"Do not support IE8 version. Please upgrade to lastest IE version.","Internet Explorer8ではご利用いただけません。IEのバージョンを最新のものにアップグレードしてください。"
"You have placed no returns.", "あなたは、リターンを置かなかった。"
"You have submitted no tickets","お問い合わせ履歴はありません。"
"%s-%s of %s","%s-%sの%s"
"%s Item(s)","%sアイテム"
"Delivery comment","配信コメント"
"Next 7 days","次の7日間"
"Previous 7 days","前7日"
"Please select Delivery date.","配達日を選択してください。"
"Unavailable","利用できない"
"Your Comment","コメント"
"Status changed to %s","ステータスに変更 %s"
"Assignee changed to %s","担当者を変更しました： %s"
"Department changed to %s","担当部門を変更しました： %s"
"Priority changed to %s","優先順位を変更しました： %s"
"Ticket has been escalated","お問い合わせの件は上位部門で確認中です。"
"available", "利用できる"
"Email","メール"
"Use Store Credit", "ストアクレジットを使用してください"
"Please key in all required fields.","すべての必須フィールドをキー入力してください。"
"Address is not found.","アドレスが見つかりません。"
"Phone number is incorrect. Please enter domestic land line or mobile phone number.","電話番号が正しくありません。<br />日本国内の固定電話あるいは携帯電話番号の入力をお願いします。"
"Please enter a valid year (1900-%d).","有効な年を入力してください (1900-%d)."
"If there is an account associated with %s you will receive an email with a link to reset your password.","“%s”　にてご登録いただいている場合は、お手元にパスワード再発行のメールが届きます。"
"Please use 8 characters. The Password must contain both uppercase and lowercase characters, at least one special character and at least one numeric character.","パスワードは、大文字の英字、小文字の英字、数字、記号のうち、3つ以上の種類を含み、さらに8文字以上である必要があります。"
"Mage_Checkout::You will receive an order confirmation email with details of your order and a link to track its progress.","ご注文確認メールをお送りしましたのでご確認ください。"
"Click to unsubscribe from this list.","このリストからの退会をクリックします。"
"Click to subscribe to this list.","このリストを購読する]をクリックします。"
"Mage_Customer::Invalid login or password.","メールアドレス、または、パスワードが違います。"
"Contact form %s <%s>","お問い合わせフォーム%s<%s>"
"You will be redirected to GMO-PG after click Place Order.","「5.お申込みの確認」をしていただいたのちに、クレジットカード決済代行会社のGMOペイメントゲートウェイのサイトへ移動しますので、カード情報をご入力ください。"
"Password, uppercase letters, lowercase letters, numbers, out of the symbol, and includes three or more types, you must be a further 8 or more characters.","パスワードは、大文字の英字、小文字の英字、数字、記号のうち、3つ以上の種類を含み、さらに8文字以上である必要があります。"
"Title inquiries","タイトル"
"Date","日時"
"Place Order","決済情報を入力する"
"Order is updates with a tracking number when your order leaves the warehouse, please track the order with the tracking number provided.","※お荷物問い合わせ番号が表示されているご注文は、出荷済みです。配送状況は佐川急便のホームページからご確認いただけます。"
"Order being processed for shipment","配送準備中"
"Click <a href=""%s"">here</a> to return top page.","<a href=""%s"">ここ</a>をクリックするとトップページに戻ります。"
"You have no additional address entries in your address book.","その他の住所データはありません。"
"Please do not use special characters or numbers in this field.","このフィールドに特殊文字や数字を使用しないで下さい。"
"Ticket Escalation","チケットエスカレーション"
"Are you dissatisfied with the quality of support?","あなたはサポートの質に不満を持っている？"
"Click this button to report this ticket to a supervisor.","上司にこのチケットを報告するためにこのボタンをクリックします。"
"Escalate","エスカレート"
"Please, provide us information why are you not satisfied with quality of support.","私たちにあなたがサポートの質に満足していない理由の情報を入力してください。"
"Escalate message has been successfully sent to supervisor.","メッセージをエスカレートする成功裏に監督者に送信されました。"
"Pending Payment","支払い処理待ち"
"Credit Card Number","クレジットカード番号"
"Type of Issue","お問い合わせの種類"
"Continue if agree on the site policy","会員規約に同意して続ける"
"Your current balance is:","あなたの現在のバランスである:"
"Have a gift card? <a href=""%s"">Click here</a> to redeem it.","ギフトカードをお持ちですか？ それを買い戻すには、<a href=""%s"">ここをクリック</a>してください。"
"Gift Card","ギフト券"
"Enter gift card code","ギフトカードコード"
"Redeem Gift Card","ギフトカードの交換"
"Check status and balance","ステータスとバランスをチェック"
"Wrong gift card code.","間違ったギフトカードのコード。"
"Cannot apply gift card.","ギフトカードを適用することはできません。"
"Cannot remove gift card.","ギフトカードを削除することはできません。"
"Current Balance: %s","現在の残高：%s"
"Gift Card: %s","ギフトカード：%s"
"Expires: %s","有効期限：%s"
"Gift Card ""%s"" was redeemed.","ギフトカード""%s""を償還した。"
"Updated","更新した"
"Created","作成された"
"The store credit payment has been removed from shopping cart.","店のクレジット決済は、ショッピングカートから削除されました。"
"No Payment Information Required","いいえ支払い情報は必須いいえ"
"Return","復帰"
"Create New Return","新しいリターンを作成"
"New Return for Order %s","注文%sのための新しい戻る"
"Return Items Information","帰り項目の情報"
"Order Shipping Address","注文配送先住所"
"Quantity To Return","数量は返すように"
"Quantity of %s is greater than you can return.","%sの量は、あなたが返すことができるよりも大きい。"
"Remaining quantity:","残量："
"Add Item To Return","返すように項目の追加"
"Cannot create New Return, try again later","新しいリターンを作成できません、後で再試行して"
"Cannot create rma for order #%s.","オーダー#%sのRMAを作成できません。"
"Return #%s has been submitted successfully","リターン#%sが正常に送信されました"
"Your Return request has been authorized.","あなたのリターン要求が承認されました。"
"Your Return request has been closed.","あなたのリターン要求が閉じられています。"
"Your Return request has been partially approved.","あなたのリターン要求が部分的に承認されています。"
"Your Return request has been partially authorized. ","あなたのリターン要求が部分的に認可されている。"
"Your Return request has been partially received.","あなたのリターン要求が部分的に受信されている。"
"Your Return request has been partially rejected.","あなたのリターン要求は部分的に拒否されました。"
"Your Return request has been placed.","あなたのリターン要求が配置されています。"
"Your Return request has been processed and closed.","あなたのリターン要求が処理され、閉じられています。"
"Your Return request has been received.","あなたのリターン要求が受信されている。"
"Customer Service","顧客サービス"
"Sub-items:","サブ項目："
"Remaining Qty:","残り個数："
"Please use the above mentioned tracking number to track your order on the Sagawa website.","お荷物の状況を確認するには佐川急便のサイト内貨物追跡サービスをご利用ください。"
"Add an item","Add an item 1"
"Find Address","住所検索"
"Search from postal code","郵便番号から検索"
"Search","検索"
"Search by address (city)","住所（市区町村）から検索"
"Please enter a part of the city with double-byte characters.","※ 市区町村の一部を全角文字で入力してください。"
"(Example Koriyama Asahi, etc.)","（例　郡山市朝日　等）"
"Postal code","郵便番号"
"Prefectures","都道府県"
"City","市区町村"
"Use this address","この住所を使用"